frame_idx,sim_time_s,peak_joint,peak_value
0,4.0930,fl_foot,-0.8164
1,4.1260,fl_foot,-0.8164
2,4.1590,fl_foot,-0.8164
3,4.1920,fl_foot,-0.8164
4,4.2250,fl_foot,-0.8164
5,4.2580,fl_foot,-0.8164
6,4.2910,fl_foot,-0.8164
7,4.3240,fr_knee,-0.8813
8,4.3570,bl_knee,0.9014
9,4.3900,fl_foot,-0.8501
10,4.4230,fr_hip,-0.8536
11,4.4560,br_foot,0.8494
12,4.4890,br_foot,0.8395
13,4.5220,fr_hip,-0.9493
14,4.5550,br_hip,0.9116
15,4.5880,fl_foot,-0.8494
16,4.6210,fr_hip,-0.9290
17,4.6540,fr_hip,-0.9266
18,4.6870,br_hip,0.9424
19,4.7200,fl_knee,0.9598
20,4.7530,fl_knee,0.9481
21,4.7860,fl_foot,-0.8510
22,4.8190,br_knee,-0.9536
23,4.8520,br_knee,-0.9494
24,4.8850,br_knee,-0.9163
25,4.9180,fl_hip,0.9549
26,4.9510,fl_hip,0.9525
27,4.9840,bl_hip,-0.9256
28,5.0170,bl_hip,-0.9290
29,5.0500,bl_hip,-0.9270
30,5.0830,fl_hip,0.9417
31,5.1160,fl_hip,0.9446
32,5.1490,br_knee,-0.9523
33,5.1820,br_foot,0.8539
34,5.2150,br_foot,0.8431
35,5.2480,br_foot,0.8376
36,5.2810,fl_hip,0.8599
37,5.3140,fl_hip,0.9471
38,5.3470,fl_hip,0.8333
39,5.3800,fl_foot,-0.6456
40,5.4130,fl_foot,-0.6450
41,5.4460,fr_hip,0.6416
42,5.4790,fl_foot,-0.6543
43,5.5120,fr_knee,-0.5919
44,5.5450,fr_knee,-0.5933
45,5.5780,bl_knee,0.4281
46,5.6110,fr_knee,-0.4720
47,5.6440,fr_knee,-0.5110
48,5.6770,fr_knee,-0.4599
49,5.7100,fr_knee,-0.4470
50,5.7430,fr_knee,-0.3992
51,5.7760,fl_knee,0.2253
52,5.8090,fl_knee,0.2476
53,5.8420,fr_knee,-0.2545
54,5.8750,fr_knee,-0.2591
55,5.9080,fr_knee,-0.4524
56,5.9410,fr_knee,-0.5168
57,5.9740,bl_knee,0.4916
58,6.0070,bl_knee,0.4793
59,6.0400,bl_knee,0.4463
60,6.0730,bl_knee,0.4642
61,6.1060,bl_knee,0.4490
62,6.1390,bl_knee,0.3663
63,6.1720,bl_knee,0.2277
64,6.2050,br_knee,-0.2617
65,6.2380,bl_knee,0.3004
66,6.2710,bl_knee,0.2855
67,6.3040,bl_knee,0.2870
68,6.3370,fl_knee,0.4599
69,6.3700,br_knee,-0.4704
70,6.4030,br_knee,-0.4689
71,6.4360,br_knee,-0.3710
72,6.4690,br_knee,-0.3612
73,6.5020,br_knee,-0.4026
74,6.5350,br_knee,-0.2557
75,6.5680,fr_foot,-0.2976
76,6.6010,fr_foot,-0.1981
77,6.6340,bl_knee,0.2181
78,6.6670,fl_hip,0.2335
79,6.7000,fl_hip,0.2366
80,6.7330,br_knee,-0.3819
81,6.7660,br_knee,-0.3471
82,6.7990,br_knee,-0.3423
83,6.8320,br_knee,-0.3803
84,6.8650,fl_knee,0.3619
85,6.8980,fl_knee,0.3193
86,6.9310,fl_knee,0.3436
87,6.9640,bl_foot,0.2296
88,6.9970,bl_foot,0.2041
89,7.0300,bl_foot,0.2181
90,7.0630,fr_knee,-0.1864
91,7.0960,fr_knee,-0.1865
92,7.1290,fr_knee,-0.3527
93,7.1620,fr_knee,-0.2759
94,7.1950,fr_knee,-0.2716
95,7.2280,fr_knee,-0.3157
96,7.2610,bl_knee,0.3050
97,7.2940,bl_knee,0.3010
98,7.3270,fr_knee,-0.3012
99,7.3600,br_knee,-0.1556
100,7.3930,fl_knee,0.1239
101,7.4260,fr_knee,-0.1576
102,7.4590,fr_knee,-0.1728
103,7.4920,fr_knee,-0.1739
104,7.5250,fr_knee,-0.3414
105,7.5580,bl_knee,0.3705
106,7.5910,bl_knee,0.3583
107,7.6240,bl_knee,0.3188
108,7.6570,bl_knee,0.3363
109,7.6900,bl_knee,0.3426
110,7.7230,bl_knee,0.2689
111,7.7560,bl_knee,0.2818
112,7.7890,bl_knee,0.1843
113,7.8220,bl_knee,0.2490
114,7.8550,bl_knee,0.2422
115,7.8880,bl_knee,0.2293
116,7.9210,fl_knee,0.3580
117,7.9540,fl_knee,0.4308
118,7.9870,br_knee,-0.4358
119,8.0200,br_knee,-0.3873
120,8.0530,br_knee,-0.3219
121,8.0860,br_knee,-0.3331
122,8.1190,fl_hip,0.3861
123,8.1520,br_knee,-0.2239
124,8.1850,fr_foot,-0.2295
125,8.2180,fr_hip,0.2260
126,8.2510,fr_hip,0.2352
127,8.2840,br_hip,-0.2323
128,8.3170,br_knee,-0.3586
129,8.3500,br_knee,-0.3847
130,8.3830,fl_knee,0.3296
131,8.4160,fl_knee,0.3510
132,8.4490,fl_knee,0.3600
133,8.4820,fl_knee,0.2700
134,8.5150,fl_knee,0.3045
135,8.5480,fl_knee,0.3292
136,8.5810,bl_foot,0.2023
137,8.6140,bl_foot,0.1984
138,8.6470,bl_foot,0.1663
139,8.6800,fr_knee,-0.1867
140,8.7130,fr_knee,-0.3145
141,8.7460,fr_knee,-0.3531
142,8.7790,fr_knee,-0.2744
143,8.8120,fr_knee,-0.3255
144,8.8450,fr_knee,-0.3483
145,8.8780,bl_knee,0.3076
146,8.9110,bl_knee,0.3075
147,8.9440,fr_knee,-0.3262
148,8.9770,fl_knee,0.1247
149,9.0100,fl_knee,0.1503
150,9.0430,fr_knee,-0.1776
151,9.0760,fr_knee,-0.1759
152,9.1090,fr_knee,-0.3480
153,9.1420,fr_knee,-0.3830
154,9.1750,bl_knee,0.3728
155,9.2080,bl_knee,0.3384
156,9.2410,bl_knee,0.3223
157,9.2740,bl_knee,0.3424
158,9.3070,bl_knee,0.3287
159,9.3400,bl_knee,0.2804
160,9.3730,bl_knee,0.2492
161,9.4060,bl_knee,0.1968
162,9.4390,bl_knee,0.2395
163,9.4720,bl_knee,0.2333
164,9.5050,bl_knee,0.2271
165,9.5380,fl_knee,0.4327
166,9.5710,br_knee,-0.4347
167,9.6040,br_knee,-0.4322
168,9.6370,fl_knee,0.3784
169,9.6700,br_knee,-0.3252
170,9.7030,br_knee,-0.3598
171,9.7360,fl_hip,0.2303
172,9.7690,br_knee,-0.2865
173,9.8020,fr_foot,-0.2187
174,9.8350,fr_hip,0.2205
175,9.8680,br_hip,-0.2268
176,9.9010,br_hip,-0.2327
177,9.9340,br_knee,-0.3519
178,9.9670,fl_knee,0.3372
179,10.0000,br_knee,-0.3271
180,10.0330,fl_knee,0.3513
181,10.0660,fl_knee,0.3366
182,10.0990,fl_knee,0.2967
183,10.1320,fl_knee,0.2548
184,10.1650,bl_foot,0.2349
185,10.1980,bl_foot,0.2026
186,10.2310,bl_foot,0.2201
187,10.2640,fr_knee,-0.1805
188,10.2970,fr_knee,-0.1849
189,10.3300,bl_hip,0.3717
190,10.3630,fr_knee,-0.3091
191,10.3960,fr_knee,-0.2731
192,10.4290,fr_knee,-0.3271
193,10.4620,bl_knee,0.3058
194,10.4950,bl_knee,0.3018
195,10.5280,fr_knee,-0.2983
196,10.5610,br_knee,-0.1550
197,10.5940,fl_knee,0.1183
198,10.6270,fr_knee,-0.1597
199,10.6600,fr_knee,-0.1764
200,10.6930,fr_knee,-0.1773
201,10.7260,fr_knee,-0.3491
202,10.7590,bl_knee,0.3703
203,10.7920,bl_knee,0.3646
204,10.8250,bl_knee,0.3160
205,10.8580,bl_knee,0.3377
206,10.8910,bl_knee,0.3409
207,10.9240,bl_knee,0.2646
208,10.9570,bl_knee,0.2371
209,10.9900,bl_knee,0.1784
210,11.0230,bl_knee,0.2403
211,11.0560,bl_knee,0.2406
212,11.0890,bl_knee,0.2276
213,11.1220,fl_knee,0.3576
214,11.1550,fl_knee,0.4290
215,11.1880,br_knee,-0.4317
216,11.2210,br_knee,-0.3827
217,11.2540,br_knee,-0.3696
218,11.2870,br_knee,-0.3314
219,11.3200,fl_hip,0.3947
220,11.3530,fl_hip,0.2294
221,11.3860,fr_foot,-0.2264
222,11.4190,fr_hip,0.2238
223,11.4520,fr_hip,0.2324
224,11.4850,br_hip,-0.2398
225,11.5180,br_knee,-0.3574
226,11.5510,br_knee,-0.3906
227,11.5840,fl_knee,0.3282
228,11.6170,fl_knee,0.3501
229,11.6500,fl_knee,0.3581
230,11.6830,fl_knee,0.2645
231,11.7160,fl_knee,0.3008
232,11.7490,fl_knee,0.3319
233,11.7820,bl_foot,0.2017
234,11.8150,bl_foot,0.2021
235,11.8480,bl_foot,0.1695
236,11.8810,fr_knee,-0.1860
237,11.9140,bl_hip,0.3457
238,11.9470,fr_knee,-0.3599
239,11.9800,fr_knee,-0.2846
240,12.0130,fr_knee,-0.2827
241,12.0460,fr_knee,-0.3318
242,12.0790,bl_knee,0.3073
243,12.1120,bl_knee,0.3081
244,12.1450,fr_knee,-0.3390
245,12.1780,fl_knee,0.1275
246,12.2110,fl_knee,0.1537
247,12.2440,fl_knee,0.1635
248,12.2770,fl_knee,0.1644
249,12.3100,fl_knee,0.1639
250,12.3430,fl_knee,0.1639
251,12.3760,fl_knee,0.1638
252,12.4090,fl_knee,0.1639
253,12.4420,fl_knee,0.1639
254,12.4750,fl_knee,0.1639
255,12.5080,fl_knee,0.1639
256,12.5410,fl_knee,0.1640
257,12.5740,fl_knee,0.1640
258,12.6070,fl_knee,0.1641
259,12.6400,fl_knee,0.1641
260,12.6730,fl_knee,0.1642
261,12.7060,fl_knee,0.1642
262,12.7390,fl_knee,0.1643
263,12.7720,fl_knee,0.1643
264,12.8050,fl_knee,0.1644
265,12.8380,fl_knee,0.1645
266,12.8710,fl_knee,0.1645
267,12.9040,fl_knee,0.1646
268,12.9370,fl_knee,0.1646
269,12.9700,fl_knee,0.1647
270,13.0030,fl_knee,0.1647
271,13.0360,fl_knee,0.1648
272,13.0690,fl_knee,0.1648
273,13.1020,fl_knee,0.1649
274,13.1350,fl_knee,0.1649
275,13.1680,fl_knee,0.1650
276,13.2010,fl_knee,0.1651
277,13.2340,fl_knee,0.1651
278,13.2670,fl_knee,0.1652
279,13.3000,fl_knee,0.1652
280,13.3330,fl_knee,0.1651
281,13.3660,fl_knee,0.1651
282,13.3990,fl_knee,0.1651
283,13.4320,fl_knee,0.1651
284,13.4650,fl_knee,0.1650
285,13.4980,fl_knee,0.1650
286,13.5310,fl_knee,0.1650
287,13.5640,fl_knee,0.1649
288,13.5970,fl_knee,0.1649
289,13.6300,fl_knee,0.1649
290,13.6630,fl_knee,0.1648
291,13.6960,fl_knee,0.1648
292,13.7290,fl_knee,0.1647
293,13.7620,fl_knee,0.1647
294,13.7950,fl_knee,0.1646
295,13.8280,fl_knee,0.1646
296,13.8610,fl_knee,0.1645
297,13.8940,fl_knee,0.1645
298,13.9270,fl_knee,0.1645
299,13.9600,fl_knee,0.1644
300,13.9930,fl_knee,0.1644
301,14.0260,fl_knee,0.1643
302,14.0590,fl_knee,0.1642
303,14.0920,fl_knee,0.1642
304,14.1250,fl_knee,0.1641
305,14.1580,fl_knee,0.1641
306,14.1910,fl_knee,0.1641
307,14.2240,fl_knee,0.1640
308,14.2570,fl_knee,0.1639
309,14.2900,fl_knee,0.1639
310,14.3230,fl_knee,0.1638
311,14.3560,fl_knee,0.1638
312,14.3890,fl_knee,0.1637
313,14.4220,fl_knee,0.1637
314,14.4550,fl_knee,0.1636
315,14.4880,fl_knee,0.1636
316,14.5210,fl_knee,0.1629
317,14.5540,fl_knee,0.1626
318,14.5870,fl_knee,0.1626
319,14.6200,fl_knee,0.1625
320,14.6530,fl_knee,0.1657
321,14.6860,fl_knee,0.1616
322,14.7190,fl_knee,0.1627
323,14.7520,fl_knee,0.1679
324,14.7850,fl_knee,0.1679
325,14.8180,fl_knee,0.1678
326,14.8510,fl_knee,0.1676
327,14.8840,fl_knee,0.1671
328,14.9170,fl_knee,0.1666
329,14.9500,fl_knee,0.1663
330,14.9830,fl_knee,0.1658
331,15.0160,fl_knee,0.1653
332,15.0490,fl_knee,0.1650
333,15.0820,fl_knee,0.1644
334,15.1150,fl_knee,0.1639
335,15.1480,fl_knee,0.1636
336,15.1810,fl_knee,0.1630
337,15.2140,fl_knee,0.1627
338,15.2470,fl_knee,0.1628
339,15.2800,fl_knee,0.1631
340,15.3130,fl_knee,0.1629
341,15.3460,fl_knee,0.1627
342,15.3790,fl_knee,0.1616
343,15.4120,fl_knee,0.1615
344,15.4450,fl_knee,0.1614
345,15.4780,fl_knee,0.1614
346,15.5110,fl_knee,0.1614
347,15.5440,fl_knee,0.1651
348,15.5770,fl_knee,0.1652
349,15.6100,fl_knee,0.1652
350,15.6430,fl_knee,0.1651
351,15.6760,fl_knee,0.1650
352,15.7090,fl_knee,0.1648
353,15.7420,fl_knee,0.1646
354,15.7750,fl_knee,0.1644
355,15.8080,fl_knee,0.1656
356,15.8410,fl_knee,0.1657
357,15.8740,fl_knee,0.1657
358,15.9070,fl_knee,0.1656
359,15.9400,fl_knee,0.1655
360,15.9730,fl_knee,0.1654
361,16.0060,fl_knee,0.1651
362,16.0390,fl_knee,0.1649
363,16.0720,fl_knee,0.1647
364,16.1050,fl_knee,0.1644
365,16.1380,fl_knee,0.1642
366,16.1710,fl_knee,0.1640
367,16.2040,fl_knee,0.1637
368,16.2370,fl_knee,0.1634
369,16.2700,fl_knee,0.1632
370,16.3030,fl_knee,0.1629
371,16.3360,fl_knee,0.1626
372,16.3690,fl_knee,0.1625
