Time_Step,Time_s,FR_hip_effort_applied,FR_hip_angle_deg,FR_knee_effort_applied,FR_knee_angle_deg,FR_foot_effort_applied,FR_foot_angle_deg,BR_hip_effort_applied,BR_hip_angle_deg,BR_knee_effort_applied,BR_knee_angle_deg,BR_foot_effort_applied,BR_foot_angle_deg,BL_hip_effort_applied,BL_hip_angle_deg,BL_knee_effort_applied,BL_knee_angle_deg,BL_foot_effort_applied,BL_foot_angle_deg,FL_hip_effort_applied,FL_hip_angle_deg,FL_knee_effort_applied,FL_knee_angle_deg,FL_foot_effort_applied,FL_foot_angle_deg
0,0.0,-0.2564837043394997,-16.551820346700776,-0.6628825708532369,38.43082852712729,0.9414,38.24795491191512,0.14136451908605835,8.507629401137867,-0.7064235504897898,37.45178869140681,0.9414,36.86919833004376,-0.2376037617821269,-14.27030285510071,0.6545411331371802,-38.09595985238309,-0.9414,-37.77333014737315,0.15863837301772876,8.32357517406579,0.7223750965954806,-37.62574715574158,-0.9414,-36.09344727464718
1,0.02,-0.2566149788356658,-16.551820346700776,-0.662886443051537,38.42955142480455,0.9414,38.24795491191512,0.14146817702656697,8.50754245697334,-0.7065795215311969,37.45035304799288,0.9414,36.872262839625,-0.23760138891140664,-14.272746969753198,0.6547854903857572,-38.09595985236687,-0.9414,-37.771378801739324,0.15869716983102825,8.323575174066036,0.722515715128331,-37.625185982361046,-0.9414,-36.08595277579416
2,0.04,-0.2567153987105567,-16.550697998613817,-0.6628811688600834,38.42559992864763,0.9414,38.24795491184161,0.14159732851001086,8.507187288988103,-0.7067425723834396,37.44918383711415,0.9414,36.8737407145839,-0.23760487703975794,-14.273880099602584,0.6550298476342176,-38.095959852353865,-0.9414,-37.76976960444449,0.15875596664428326,8.323575174066633,0.7226644170547112,-37.623410753954644,-0.9414,-36.08454926226618
3,0.06,-0.2568067765136044,-16.550516758825843,-0.6628898590149361,38.423193486076414,0.9414,38.2479549118123,0.1417285574709086,8.506099102504132,-0.7069081001956707,37.44918383711415,0.9414,36.874903954768826,-0.23761547285660986,-14.274752745079914,0.6552560036911956,-38.09595985234247,-0.9414,-37.76859415062885,0.15881476345750803,8.323575174068182,0.7228126756413096,-37.62091922153938,-0.9414,-36.08078203681088
4,0.08,-0.25690005499104596,-16.550448165564553,-0.6629731496569332,38.420855690026805,0.9414,38.24795491176156,0.14183391564426148,8.50554929903789,-0.7070054483585481,37.44690291132036,0.9414,36.874903954768826,-0.2376485529373805,-14.274752745079914,0.6552829315677338,-38.09536307844837,-0.9414,-37.76686868021189,0.158873560270729,8.323575174069575,0.7228871934927884,-37.62038182984317,-0.9414,-36.07775435867352
5,0.1,-0.2569943541177313,-16.550448165564553,-0.6630525718044349,38.420855690026805,0.9414,38.24795491176156,0.14193951525361376,8.504900706162072,-0.707046188064055,37.444692594504005,0.9414,36.877159792509374,-0.23767937072246936,-14.276219176478563,0.6552330501616914,-38.092912340128684,-0.9414,-37.76365182315895,0.15893235708390507,8.323575174071056,0.7229420268731332,-37.61751766786166,-0.9414,-36.075474038475576
6,0.12,-0.25708468343746266,-16.550445905750305,-0.6631040296274551,38.416436682685,0.9414,38.24795491167696,0.1420529089975364,8.504288368823797,-0.7070896452918679,37.443069282438096,0.9414,36.877460704257075,-0.2377014898985777,-14.276219176478563,0.6551978111437298,-38.09193215016076,-0.9414,-37.75949091972808,0.15899115389706497,8.323575174072992,0.7229922836859549,-37.61482348602498,-0.9414,-36.073305619990506
7,0.14,-0.2571797669319169,-16.550445905741082,-0.6631499759867494,38.415355593949236,0.9414,38.24795491164551,0.14216315392337633,8.503714540388552,-0.7071457523605845,37.442110425653006,0.9414,36.877842615161825,-0.23772118025313088,-14.277817105416943,0.6551848564855567,-38.088196236032104,-0.9414,-37.75664727001703,0.15904701086954856,8.32357517407469,0.7230427432073041,-37.61335980724072,-0.9414,-36.07090800269496
8,0.16,-0.25727960460109417,-16.550445905735355,-0.6632046964952601,38.412334121287955,0.9414,38.2479549115797,0.14228293936565523,8.503714540388552,-0.7072183282346729,37.437762899636965,0.9414,36.87814698600492,-0.2377430682889418,-14.27800777588473,0.6551818665372426,-38.088196236032104,-0.9414,-37.753187859375124,0.15910874752332804,8.323575174077934,0.7231057371676688,-37.609940816280535,-0.9414,-36.07001368016943
9,0.18,-0.2573746880955428,-16.550445905730268,-0.6632649792844141,38.409237336394064,0.9414,38.24795491152085,0.1423943820329181,8.503714540388552,-0.7072911812204311,37.437422538590695,0.9414,36.87846382604271,-0.23776758517630486,-14.279138757581865,0.6551804264196953,-38.08107864119098,-0.9414,-37.75164068554043,0.15916754433642732,8.323575174079144,0.7231715958901631,-37.60778967565944,-0.9414,-36.066975623658564
