Time_Step,Time_s,FR_hip_command,FR_hip_state,FR_knee_command,FR_knee_state,FR_foot_command,FR_foot_state,BR_hip_command,BR_hip_state,BR_knee_command,BR_knee_state,BR_foot_command,BR_foot_state,BL_hip_command,BL_hip_state,BL_knee_command,BL_knee_state,BL_foot_command,BL_foot_state,FL_hip_command,FL_hip_state,FL_knee_command,FL_knee_state,FL_foot_command,FL_foot_state
0,0.1,-19.274387356634314,-18.872302270886717,31.33579894564477,31.312289976804465,69.84580756625935,71.21804800040209,10.007979801441346,9.424047915295969,29.895677214181863,30.01023979308091,61.792656183251545,62.87203914963169,-16.792509120984707,-17.358844149118795,-31.095640295429217,-31.077627665010727,-68.12058960225296,-70.14132065915966,10.007979801441346,10.68468583683582,-29.895677214181838,-30.051746487531943,-61.792656183251516,-63.390382078681576
1,0.2,-21.864302742664176,-18.831711513812902,31.512853632058484,31.807237210925408,71.38298164287926,71.61939550959697,18.434948822922006,9.573641365552994,52.129275126605485,30.986314490956232,82.245347928628,62.872039150019646,-14.420773127510978,-16.41113177855715,-30.782180240859578,-31.55292887105839,-66.20534992257402,-69.80370388455658,12.159595728526515,11.116765412319525,-30.385445910816152,-29.54276364062089,-64.09731896322955,-64.1365229359298
2,0.3,-24.55820344158342,-23.40430914199659,31.637137343341763,33.55392575829753,72.7335172791449,74.90090505932837,28.30075576600637,21.518780777978925,53.52162505473767,49.78205672065298,87.60991751917456,85.06672505565273,-12.159595728526515,-15.612126885100341,-30.38544591081618,-33.72201825711793,-64.09731896322957,-67.1954150649908,14.420773127510978,12.737600293390944,-30.782180240859578,-28.368215801935218,-66.20534992257402,-66.08953502068593
3,0.4,-27.349875780069883,-25.067514648954504,31.71893315908164,33.376912852221906,73.89841657493318,75.63485633254895,39.289406862500364,29.66500774729348,31.808256212764075,50.380625216045686,76.71358979582982,79.79305780420786,-10.007979801441346,-12.451930605084687,-29.895677214181838,-33.49820940060215,-61.792656183251516,-64.72939895084164,16.792509120984707,14.67295963384393,-31.095640295429217,-29.23616929478054,-68.12058960225296,-67.14050473408466
4,0.5,-30.23080146970835,-26.39726716408246,31.768202504636474,31.488352049243826,74.8784037270811,75.24020564679168,39.289406862500364,37.000532546611744,31.808256212764075,32.94470120342919,76.71358979582982,75.42146561053717,-10.007979801441346,-10.962894470701633,-29.895677214181838,-31.523892941593118,-61.792656183251516,-61.89968570129454,19.274387356634314,16.671519244664992,-31.33579894564477,-31.251837519020008,-69.84580756625935,-69.47687844847435
5,0.6,-33.190117042971735,-29.029196957682434,31.79424539913732,31.050267711473417,75.67401264797442,76.20194023059244,36.214701282115406,34.840573665492435,31.80531995136064,32.841781892959695,76.2856427651633,76.38222722792428,-18.434948822922006,-10.068243345510352,-52.129275126605485,-36.4297121440709,-82.24534792862798,-62.70324217911116,21.864302742664176,18.33065208204812,-31.512853632058512,-32.17045215619762,-71.38298164287927,-70.58443606009406
6,0.7,-36.21470128211538,-32.84502122384781,31.80531995136064,28.997295768492805,76.2856427651633,76.48170425915237,33.190117042971735,36.125208585985554,31.79424539913732,35.14669658000119,75.67401264797442,76.31661658809584,-28.30075576600637,-18.79458421271409,-53.52162505473767,-50.413789832597764,-87.60991751917459,-85.05603451357388,24.55820344158342,22.45945289166151,-31.637137343341738,-34.87937427002203,-72.73351727914493,-72.0808692074152
7,0.8,-39.289406862500364,-37.48695009186984,31.808256212764075,29.760898000750707,76.71358979582982,76.91556802910205,30.230801469708375,32.54769302838017,31.768202504636474,33.847782322895235,74.8784037270811,74.96320272176696,-39.289406862500364,-32.0806772235248,-31.808256212764075,-49.537456192271605,-76.71358979582979,-86.67713782043607,27.349875780069883,21.8168658207908,-31.718933159081615,-33.44307691383762,-73.89841657493315,-73.38659898210965
8,0.9,-39.289406862500364,-39.68802561529016,31.808256212764075,30.736626935781967,76.71358979582982,79.2578397161541,27.349875780069883,29.845712615802093,31.71893315908164,32.069640703116576,73.89841657493318,73.9859333504289,-39.289406862500364,-36.388381666728165,-31.808256212764075,-33.571170823866424,-76.71358979582979,-74.66116098047642,30.23080146970835,25.45272832332218,-31.76820250463645,-32.09963563102286,-74.87840372708108,-74.94626450281854
9,1.0,-28.30075576600637,-39.390114361974284,53.52162505473762,31.51855432980053,87.60991751917456,78.54228534978517,24.558203441583448,29.62683748412101,31.637137343341763,33.46049410928558,72.7335172791449,73.10891461078977,-36.214701282115406,-35.73422887031797,-31.80531995136064,-33.245611113300924,-76.2856427651633,-75.18329500816812,33.190117042971735,27.02434065718393,-31.79424539913732,-32.22264348949023,-75.67401264797442,-75.7128797031715
