Time_Step,Time_s,FR_hip_torque,FR_hip_angle_deg,FR_knee_torque,FR_knee_angle_deg,FR_foot_torque,FR_foot_angle_deg,BR_hip_torque,BR_hip_angle_deg,BR_knee_torque,BR_knee_angle_deg,BR_foot_torque,BR_foot_angle_deg,BL_hip_torque,BL_hip_angle_deg,BL_knee_torque,BL_knee_angle_deg,BL_foot_torque,BL_foot_angle_deg,FL_hip_torque,FL_hip_angle_deg,FL_knee_torque,FL_knee_angle_deg,FL_foot_torque,FL_foot_angle_deg
0,0.0,0.3370898356490653,-15.9842766794928,0.777486693270848,38.20592757275757,0.966768784817044,40.05839929785102,0.20936135036690387,8.300899845928772,0.8413622556948923,37.471735314530996,1.0382473591712686,40.65727794448985,0.27460456518658644,-14.573014412707513,0.7764337516121327,-39.319994062151686,1.0009177720775542,-43.133070174777046,0.24318980731226336,8.630954685756738,0.826700840819004,-38.60874227071396,1.0155868747131098,-39.49188792764787
1,0.02,0.33695029480111455,-15.984276679492043,0.7782127840912257,38.20378228479971,0.9668058086145082,40.05197203548788,0.20927169702608406,8.302234620214918,0.8414120469821482,37.468010899977415,1.0393855021977154,40.65727794449191,0.27438332751197686,-14.578165378575786,0.7758275164041208,-39.3092462576041,0.9971500988651885,-43.13307017481225,0.24367688199968332,8.624457692354747,0.823901435856714,-38.60874227071396,1.0155928903408276,-39.49160633264629
2,0.04,0.3394241047251496,-15.98428309122985,0.7780369976400435,38.20276695638794,0.9668407400768023,40.04365282164417,0.20918595751040064,8.303344262731475,0.8413962005478988,37.46604786113504,1.0387436634736613,40.65727794449669,0.27412742156308517,-14.58228482014098,0.7752195942364216,-39.29826721258355,0.9973365827007702,-43.13307017481767,0.2441937944668004,8.624457692354747,0.8230905183506084,-38.60733354447401,1.0132912087395956,-39.491601361028835
3,0.06,0.33464947656792493,-15.98428309123041,0.7774382155079131,38.19855946782231,0.9668435084246696,40.03780858184815,0.20920569333516637,8.303891926846212,0.8416446595570155,37.46523329337682,1.0412178042012659,40.65727794445293,0.2741614599490863,-14.582609594356217,0.7752855334026916,-39.29526774700643,0.9965817791978068,-43.133070174885574,0.24432010508414592,8.618014995209819,0.8227528824261346,-38.60567912608006,1.0156122484402523,-39.490273563419976
4,0.08,0.33477203384323645,-15.984283091231651,0.7771016734969002,38.19193260356355,0.9668390548407,40.03103519027782,0.20925780189155757,8.304156141814863,0.8419503532604684,37.465230253705165,1.0413536317746825,40.65727794445293,0.2742678452445327,-14.583419938486665,0.7755395921276986,-39.29439336392759,0.9971247798410774,-43.13307017490056,0.2443446592399784,8.617896684180833,0.823072222989574,-38.60458442786155,1.0156166620050855,-39.48993830446871
5,0.1,0.3350386454450916,-15.984269294833616,0.7766806329635403,38.19193260356355,0.9668456858142854,40.026300712431976,0.2092864928473186,8.304486302227566,0.8424927257478728,37.46523025369655,1.041743767710104,40.65726265819426,0.27432460878124426,-14.583419938486665,0.7756534345496219,-39.292391523108634,0.9974895426802298,-43.13307017490505,0.24444014666118538,8.617153289149092,0.8232981085271508,-38.604132201819155,1.0156241083257793,-39.48985593263232
6,0.12,0.34080487997224845,-15.984170637946447,0.7761448813465781,38.171979304291945,0.9668446502946497,40.02243470305532,0.2093417504654891,8.304486302227566,0.8451065388068877,37.46523025369655,1.0440249202908791,40.65726265814764,0.2766364289187469,-14.583552479767777,0.7759256202068809,-39.292391523108634,1.000985257501982,-43.133070174831026,0.2444663552315557,8.617115403125693,0.8236066204556863,-38.60384660573799,1.0125520487639001,-39.48985593259774
7,0.14,0.34094220748877074,-15.984041309176716,0.7756011257862262,38.171979304291945,0.9668458581523169,40.01572583010897,0.2093781938600214,8.3049651178656,0.8427188058315904,37.4650649034952,1.0375935927143844,40.6572626581949,0.28450353341082757,-14.583486859644557,0.7761504016813082,-39.290703331491144,1.0029784047480392,-43.133070174751964,0.24078872751959382,8.61711540312473,0.8239364477715666,-38.60384231228244,1.0103882371066306,-39.48985593259774
8,0.16,0.3410805412804694,-15.983860713559631,0.7751158763969361,38.15650855664419,0.9668484437620547,40.01291997199302,0.2093989582545169,8.305002096032563,0.84409147722158,37.465064903480744,1.039097888019855,40.657262658222834,0.2845925358252435,-14.583410708572607,0.7762891668213603,-39.290703331491144,1.0034859247495562,-43.132726576389565,0.2412236408923345,8.617115403122575,0.824207693407694,-38.60356422464154,1.0103984995829438,-39.489855932613494
9,0.18,0.34056177551952327,-15.983837181798437,0.7748942581092007,38.15175564006351,0.9668478313610972,40.009902143411416,0.20947094825595147,8.305165349407078,0.8443572484146076,37.465063636252026,1.0390762864484353,40.65726265823079,0.2846656504041198,-14.5833946795141,0.7760795147238725,-39.28708298859542,1.0034978123408598,-43.129963964476694,0.24052730029878566,8.617115452488877,0.8244688347434727,-38.603416656641095,1.0104337891080797,-39.489855932625964
10,0.2,0.34130910232883965,-15.983758222064278,0.7745849427449947,38.14250055955946,0.9668512071903831,40.00500649381836,0.20950841385506486,8.305688365752584,0.8436959543725202,37.465063636252026,1.037158138724523,40.65726265829285,0.28474671847658484,-14.58337592773406,0.7759710988103499,-39.28708298859542,1.003503528645556,-43.129963964476694,0.24224888819597487,8.617101040624549,0.8247516872302486,-38.60329886517767,1.0103377435244763,-39.489855932605735
11,0.22,0.3414806312734846,-15.77289182594632,0.7743855771191581,38.14250055955946,0.9668598643854363,40.2873357885155,0.20947919015769625,10.06184541941054,0.8458179523236703,39.7244328731243,1.0399566423917783,40.65726265829285,0.2832351541985443,-13.237741591328623,0.775790775084241,-39.30877175516644,1.0035030816858932,-44.154492927859145,0.24472083385888696,9.409766539204185,0.8272681749068334,-38.237949919607416,1.0132618551485104,-42.2642806516724
12,0.24,0.5397569473124999,-15.919906350948677,0.9724865575446765,39.81377515764432,0.9743259260286864,40.2873357885155,0.4772181880722834,10.06184541941054,0.46651369145791977,46.014054139197945,0.9802582143516503,45.780058902380695,0.41235346424489955,-11.92802797342098,0.81942999508388,-39.30877175516644,0.9806239028281921,-45.34485597111983,0.20457190172093037,10.58640162024029,0.5275922270802516,-37.10865131454707,0.5146996637074359,-50.05536076198301
13,0.26,0.6155217477439091,-15.919906350948677,0.926233653264646,39.67300323584132,0.9713062711270978,40.318438295283485,0.5317388533433174,13.277058930429437,0.5148400130971429,53.289036666759664,0.9751894576129002,45.780058902380695,0.30606192412317756,-12.70069427332404,0.9266694811113303,-40.3121719265964,0.9828642130344004,-45.70245164908754,0.16625137929725603,11.180885558330395,0.34105405799741617,-34.96553961249478,0.3569180303998434,-53.35158696066644
14,0.28,0.7878382653584683,-14.290703605043063,0.757269793516804,38.47590124133923,0.9653888847078296,40.39976025595948,0.3100889584455888,14.720456249358817,0.7043552988359179,55.63027174086407,0.7573736532225729,55.473530249016555,0.11343557541962138,-13.889746304559996,0.936534470349081,-40.401896506147885,1.000851847926653,-45.106961292538045,0.17945486010156347,11.315093789266065,0.4294003320275926,-34.96553961249478,0.7153686757548031,-55.26423802996195
15,0.3,0.8081487046752476,-13.776892507163632,0.7368854761620294,38.47590124133923,0.9524787885526048,40.61406412597046,0.2837932111408105,15.112426577098999,0.5810348155682307,55.89283860414993,0.6865572437613275,55.473530249016555,0.025091305967186298,-14.375979623132952,0.8473322510674526,-39.785800952029525,1.0070813554453817,-44.09910485665013,0.25136122496930435,10.880535784251181,0.6534078704093946,-36.6294113858179,0.9464193803457011,-55.57755287052911
16,0.32,0.7101453699778506,-13.853034562696886,0.7811094102696439,38.370777931183355,0.951974860447794,40.61406412597046,0.4031333488153575,19.331431489986493,0.520325709051598,57.37982839554097,0.918342721336782,67.54229047577167,0.10038580572394228,-13.41426566614042,0.7386053548218697,-39.785800952029525,1.0064306834232082,-43.721926699405785,0.21231462423310438,10.880535784251181,0.6968510099446015,-37.101505204264974,0.800203575957445,-56.625309616296114
17,0.34,0.8946346363888181,-14.560675847078514,0.7510110612144828,37.76365622808232,0.9474039199975168,41.44774435163916,0.31566412148870954,19.331431489986493,0.6834678211944901,57.37982839554097,0.8067149729266572,72.33680130597041,0.15301415092124634,-13.41426566614042,0.7954019704140349,-38.47171603778456,1.002260794793893,-43.47362294393932,0.213913216172102,12.805962505438067,0.728362836264989,-38.019049638916236,0.7594717540583051,-57.718548578891394
18,0.36,0.7136694474205061,-16.207901654416016,0.6702970485258037,37.635601345314804,0.959833869604151,41.39257120180665,0.44530945455248266,21.72099115222161,0.49359078679319346,57.6072931662236,0.90122515534025,72.95360480762336,0.25236044559270104,-10.65668012721418,0.626846654283694,-38.47171603778456,1.0085810667732593,-42.507465483232224,0.16710751645272057,13.622121250315816,0.6609363863489688,-37.614206714051264,0.567584239757139,-59.898988915431985
19,0.38,0.6973734829716587,-16.60782226924732,0.6850819379140498,37.635601345314804,0.9486473010214332,41.423715126892375,0.6424217022923696,21.548565267217537,0.5719430900364194,57.710580200541465,0.9099828205988446,71.82608779589897,0.33049576176233614,-10.174750275950801,0.6852810612961919,-37.65287902731436,1.0046788904313493,-42.56230664485547,0.09615228371359079,13.858673517142702,0.5785695958147922,-37.22635803414021,0.5587814658841641,-60.86684770491125
20,0.4,0.7488702067662668,-16.553303028224356,0.715154716430712,37.65479924095302,0.9492769678624178,41.48274246976429,0.5978108054834306,21.666427280481376,0.6105195588937734,57.797069527467784,0.8932665005632197,71.83419716594001,0.2855788564120767,-10.261002573312982,0.7374398412843082,-37.85808209227185,0.9930077813883669,-42.57227276690387,0.1299680035883189,13.858827675311847,0.6252811178669855,-37.33922526816291,0.5932271843100951,-60.86329882895652
21,0.42,0.8035519724399244,-15.881472951849995,0.7241390509266219,37.68704055138569,0.9540663960032028,42.63705971078812,0.5567861079732663,22.74820416015175,0.6287003110333843,57.797069527467784,0.8872534132670278,69.78795371611395,0.20776505790227262,-10.211156050394308,0.7578346901159603,-37.84626236614897,0.9924884987506726,-43.44910124034985,0.18939704913251176,14.071263237145274,0.6569676676988283,-39.33367722215783,0.6660814821538416,-60.80309023528412
22,0.44,0.9141588208073351,-17.89931141877703,0.7960506532156553,38.22692100774222,0.908023955045661,44.11548495327802,0.911563111599208,25.91299656041729,0.7590524658397069,57.797069527467784,0.9473129900268509,65.96613584057387,0.2903735528276104,-8.420461294853352,0.6988886577479316,-37.59233413573876,0.9800822130411084,-43.44910124034985,0.13006640910795902,15.606040637604435,0.9362326040963795,-39.970497723499975,0.7846327620730729,-60.39654701817301
23,0.46,0.4495639388489888,-20.54582379351781,0.7608970192788143,38.16574757606075,0.7789283596986553,50.28461770264786,0.7964025663435289,28.38279489558077,0.6853296489404727,42.80315700752706,0.9683010018918455,63.66309264879174,0.3215047327873759,-8.353983686102108,0.754308769105769,-37.65267980056747,0.9603132781503211,-49.02923878376861,0.161292425664961,15.670059125585608,0.8289016653646966,-39.64858562808472,0.9452223416918577,-58.24061380157588
24,0.48,0.3098453773952937,-21.8630869933183,0.7123652409905729,37.35810384922151,0.7219639116845848,56.48755133732423,0.44594428695443716,32.4988079518207,0.5600757357608968,39.85649104214009,0.9757713130026306,60.14770017846546,0.21329692987224377,-8.353983686102108,0.7569739001610255,-37.919870622606055,0.9052546632974364,-52.286493873982685,0.3025847145733094,14.339989943872261,0.7171004656383386,-39.21557387687115,0.9575428485617594,-56.55258152908227
25,0.5,0.6885337455037667,-21.8630869933183,0.5839345519979784,37.01217654949993,0.9087695529403943,55.68343118787632,0.3081197236205997,34.091800634944974,0.7017299046782229,39.85649104214009,0.9653189508127986,60.14402845562013,0.10654480410486925,-9.08644212068174,0.7072098879471411,-37.652782802048925,0.8033273275008491,-53.31094102363713,0.4556640007689813,13.225236694975123,0.5937097166295467,-39.21557387687115,0.9595463626785429,-56.55258152908227
26,0.52,0.6101519605733816,-21.8630869933183,0.6815852965900031,37.14619203935617,0.8885818690695361,56.27239417345111,0.40960772961146696,33.83640538487842,0.8044320377965994,38.76830714779359,0.9465206173628103,61.00996196136347,0.0458108884167009,-9.963021268478512,0.7904770632491338,-38.3783357689403,0.8731692227553852,-52.96521418072865,0.46458915445679627,13.360787383469768,0.7553211785849416,-38.875055668860256,0.9540255081740956,-55.13219114977933
