frame_idx,sim_time_s,peak_joint,peak_value
0,1.8820,br_foot,1.0445
1,1.9150,br_foot,1.0445
2,1.9480,br_foot,1.0445
3,1.9810,br_foot,1.0445
4,2.0140,br_foot,1.0445
5,2.0470,br_foot,1.0445
6,2.0800,br_foot,1.0445
7,2.1130,bl_foot,-0.9827
8,2.1460,bl_foot,-1.0017
9,2.1790,bl_foot,-0.9998
10,2.2120,bl_foot,-0.9839
11,2.2450,bl_foot,-0.9772
12,2.2780,bl_foot,-0.9795
13,2.3110,fl_knee,0.9883
14,2.3440,fl_foot,-0.9744
15,2.3770,fl_foot,-0.9859
16,2.4100,fl_foot,-0.9756
17,2.4430,fl_foot,-0.9627
18,2.4760,fl_foot,-0.9636
19,2.5090,fl_foot,-0.9633
20,2.5420,fl_foot,-0.9536
21,2.5750,fl_knee,0.9766
22,2.6080,fl_knee,0.9782
23,2.6410,fl_knee,0.9778
24,2.6740,fl_knee,0.9759
25,2.7070,fl_hip,1.0237
26,2.7400,bl_hip,-0.9810
27,2.7730,bl_hip,-0.9699
28,2.8060,bl_hip,-0.9642
29,2.8390,bl_hip,-0.9607
30,2.8720,bl_hip,-0.9737
31,2.9050,fl_hip,0.8831
32,2.9380,br_knee,-0.9230
33,2.9710,fl_knee,0.9007
34,3.0040,fl_foot,-0.8951
35,3.0370,fl_knee,0.8662
36,3.0700,fl_knee,0.8529
37,3.1030,br_foot,0.9036
38,3.1360,fl_foot,-0.8143
39,3.1690,fl_foot,-0.7052
40,3.2020,fl_foot,-0.6529
41,3.2350,fl_foot,-0.6493
42,3.2680,fl_foot,-0.6670
43,3.3010,bl_knee,0.5505
44,3.3340,bl_knee,0.4966
45,3.3670,fr_knee,-0.4517
46,3.4000,fr_knee,-0.5225
47,3.4330,fr_knee,-0.5142
48,3.4660,fr_knee,-0.4856
49,3.4990,fr_knee,-0.4810
50,3.5320,br_knee,-0.2831
51,3.5650,fl_knee,0.2660
52,3.5980,fl_knee,0.2855
53,3.6310,fl_knee,0.2754
54,3.6640,fl_knee,0.2782
55,3.6970,fr_knee,-0.4917
56,3.7300,bl_knee,0.5210
57,3.7630,bl_knee,0.5138
58,3.7960,bl_knee,0.5005
59,3.8290,bl_knee,0.4856
60,3.8620,bl_knee,0.5092
61,3.8950,bl_knee,0.4707
62,3.9280,bl_foot,-0.2366
63,3.9610,br_knee,-0.2668
64,3.9940,br_knee,-0.2910
65,4.0270,bl_knee,0.3092
66,4.0600,bl_knee,0.3054
67,4.0930,fl_knee,0.3998
68,4.1260,fl_knee,0.4724
69,4.1590,br_knee,-0.4811
70,4.1920,fl_knee,0.4284
71,4.2250,br_knee,-0.3674
72,4.2580,br_knee,-0.3952
73,4.2910,br_knee,-0.4195
74,4.3240,br_knee,-0.2630
75,4.3570,bl_knee,0.2153
76,4.3900,bl_knee,0.2340
77,4.4230,bl_hip,-0.2672
78,4.4560,fl_hip,0.2693
79,4.4890,fl_hip,0.2654
80,4.5220,br_knee,-0.4167
81,4.5550,fl_knee,0.3350
82,4.5880,fl_knee,0.3839
83,4.6210,fl_knee,0.3990
84,4.6540,fl_knee,0.3815
85,4.6870,fl_knee,0.2876
86,4.7200,fl_knee,0.3597
87,4.7530,bl_foot,0.1955
88,4.7860,fr_knee,-0.1837
89,4.8190,fr_knee,-0.1898
90,4.8520,fr_knee,-0.1998
91,4.8850,fr_knee,-0.2020
92,4.9180,fr_knee,-0.3787
93,4.9510,fr_knee,-0.2951
94,4.9840,bl_knee,0.2917
95,5.0170,fr_knee,-0.3394
96,5.0500,bl_knee,0.3261
97,5.0830,bl_knee,0.3259
98,5.1160,fr_knee,-0.3342
99,5.1490,fl_knee,0.1531
100,5.1820,fl_knee,0.1811
101,5.2150,fr_knee,-0.1802
102,5.2480,fr_knee,-0.1869
103,5.2810,fr_knee,-0.1843
104,5.3140,fr_knee,-0.4220
105,5.3470,bl_knee,0.4121
106,5.3800,bl_knee,0.3706
107,5.4130,bl_knee,0.3429
108,5.4460,bl_knee,0.3711
109,5.4790,bl_knee,0.3530
110,5.5120,fr_knee,-0.2958
111,5.5450,bl_knee,0.2220
112,5.5780,bl_knee,0.2065
113,5.6110,bl_knee,0.2554
114,5.6440,bl_knee,0.2306
115,5.6770,bl_knee,0.2422
116,5.7100,fl_knee,0.4404
117,5.7430,fl_knee,0.4385
118,5.7760,br_knee,-0.4392
119,5.8090,br_knee,-0.3737
120,5.8420,br_knee,-0.3349
121,5.8750,br_knee,-0.3744
122,5.9080,fl_hip,0.3901
123,5.9410,fr_knee,-0.4100
124,5.9740,fr_foot,-0.2198
125,6.0070,bl_hip,-0.2229
126,6.0400,br_hip,-0.2282
127,6.0730,br_hip,-0.2417
128,6.1060,br_knee,-0.3819
129,6.1390,fl_knee,0.3310
130,6.1720,fl_knee,0.3363
131,6.2050,fl_knee,0.3709
132,6.2380,fl_knee,0.3549
133,6.2710,fl_knee,0.3042
134,6.3040,fl_knee,0.2676
135,6.3370,bl_foot,0.2313
136,6.3700,bl_foot,0.1858
137,6.4030,bl_foot,0.1969
138,6.4360,fr_knee,-0.1930
139,6.4690,fr_knee,-0.1979
140,6.5020,bl_hip,0.3319
141,6.5350,fr_knee,-0.3277
142,6.5680,fr_knee,-0.2861
143,6.6010,fr_knee,-0.3399
144,6.6340,bl_knee,0.3207
145,6.6670,bl_knee,0.3245
146,6.7000,fr_knee,-0.3147
147,6.7330,fr_knee,-0.3164
148,6.7660,fl_knee,0.1484
149,6.7990,br_knee,-0.1683
150,6.8320,fr_knee,-0.1839
151,6.8650,fr_knee,-0.1843
152,6.8980,fr_knee,-0.3653
153,6.9310,bl_knee,0.4122
154,6.9640,bl_knee,0.4140
155,6.9970,bl_knee,0.3258
156,7.0300,bl_knee,0.3832
157,7.0630,bl_knee,0.3619
158,7.0960,bl_knee,0.2865
159,7.1290,bl_knee,0.2211
160,7.1620,bl_knee,0.1858
161,7.1950,bl_knee,0.2137
162,7.2280,bl_knee,0.2507
163,7.2610,br_knee,-0.2311
164,7.2940,fl_knee,0.3645
