Step,FR_hip_cmd,FR_hip_state,FR_knee_cmd,FR_knee_state,FR_foot_cmd,FR_foot_state,BR_hip_cmd,BR_hip_state,BR_knee_cmd,BR_knee_state,BR_foot_cmd,BR_foot_state,BL_hip_cmd,BL_hip_state,BL_knee_cmd,BL_knee_state,BL_foot_cmd,BL_foot_state,FL_hip_cmd,FL_hip_state,FL_knee_cmd,FL_knee_state,FL_foot_cmd,FL_foot_state
0,-24.55820344158342,2.8747633357459517,31.637137343341763,29.050606519241242,72.7335172791449,47.24976947456319,10.007979801441346,-3.9595261661307686,29.895677214181863,18.85346624222624,61.792656183251545,0.44403166454845905,-12.159595728526515,16.248865055530747,-30.38544591081618,-21.4584299186822,-64.09731896322957,-33.63074599262739,14.420773127510978,11.012432921440126,-30.782180240859578,-27.043743494068302,-66.20534992257402,19.736375418903513
1,-27.349875780069883,1.2820834300603996,31.71893315908164,32.742964319501176,73.89841657493318,50.22925648171021,18.434948822922006,-1.5640293101324536,52.129275126605485,22.906740717216657,82.245347928628,29.842038042469998,-10.007979801441346,14.413709476951086,-29.895677214181838,-21.189299914550368,-61.792656183251516,-38.73101354919341,16.792509120984707,9.59345232858872,-31.095640295429217,-32.982015635843894,-68.12058960225296,-21.366587659806154
2,-30.23080146970835,-1.051893873160749,31.768202504636474,37.730088613474884,74.8784037270811,42.96487087212712,28.30075576600637,0.4885358027630592,53.52162505473767,21.738534096677437,87.60991751917456,45.47517281627139,-10.007979801441346,12.65903981907403,-29.895677214181838,-21.80382486260465,-61.792656183251516,-41.23115221731203,19.274387356634314,9.188933191339297,-31.33579894564477,-37.99583464223974,-69.84580756625935,-58.66221008008468
3,-33.190117042971735,-3.8742268849913026,31.79424539913732,39.01875900115888,75.67401264797442,32.57298055478262,39.289406862500364,0.8042954527708204,31.808256212764075,27.310427260752697,76.71358979582982,63.7364021790052,-10.007979801441346,12.414955971425357,-29.895677214181838,-24.723327636164232,-61.792656183251516,-35.286395268069086,21.864302742664176,11.009912213649958,-31.512853632058512,-41.5164278809671,-71.38298164287927,-90.27580020675465
4,-36.21470128211538,-5.6441343603250935,31.80531995136064,45.307600710456974,76.2856427651633,49.89849962350977,39.289406862500364,2.854605571167219,31.808256212764075,35.729291209185234,76.71358979582982,78.58779574210449,-10.007979801441346,12.03654756768312,-29.895677214181838,-30.268075355603546,-61.792656183251516,-28.53751720179775,24.55820344158342,13.308547545997525,-31.637137343341738,-49.217790361594545,-72.73351727914493,-90.35198869615628
5,-39.289406862500364,-5.20666687779013,31.808256212764075,56.919351930111134,76.71358979582982,82.74373054415473,39.289406862500364,7.765637072924926,31.808256212764075,44.95998326576941,76.71358979582982,94.06712295912514,-18.434948822922006,10.896012039065258,-52.129275126605485,-35.92680120818222,-82.24534792862798,-21.440249564875014,27.349875780069883,16.57680392477851,-31.718933159081615,-50.88671361635933,-73.89841657493315,-64.2458437750007
6,-39.289406862500364,-7.927795969703697,31.808256212764075,49.859257737857035,76.71358979582982,74.21583651859244,39.289406862500364,12.151947862363084,31.808256212764075,39.52692177193607,76.71358979582982,70.31874954865356,-28.30075576600637,9.65732011112409,-53.52162505473767,-47.293234777396435,-87.60991751917459,-32.892199911491126,30.23080146970835,17.480963948021575,-31.76820250463645,-54.67057474166546,-74.87840372708108,-36.19251192037118
7,-39.289406862500364,-9.240815303389125,31.808256212764075,33.87947768218359,76.71358979582982,44.71496306285896,36.214701282115406,14.146439060957112,31.80531995136064,41.49946025688671,76.2856427651633,71.29886360782555,-39.289406862500364,7.140408395763868,-31.808256212764075,-49.34073051688934,-76.71358979582979,-24.650312321437607,33.190117042971735,19.5129821216593,-31.79424539913732,-56.95633558299403,-75.67401264797442,-41.588943643433545
8,-39.289406862500364,-10.633749728699954,31.808256212764075,35.119493697089204,76.71358979582982,39.92659201518889,33.190117042971735,15.928870866282178,31.79424539913732,39.023021823254744,75.67401264797442,64.5644225214385,-39.289406862500364,2.8715896013961193,-31.808256212764075,-45.524467601355575,-76.71358979582979,-32.93915054524911,36.21470128211538,20.842824158644767,-31.80531995136064,-48.691178705414266,-76.2856427651633,-30.858374830565296
9,-28.30075576600637,-13.377889609881995,53.52162505473762,36.180176882129615,87.60991751917456,22.70388480602879,30.230801469708375,14.837691915697839,31.768202504636474,43.556399313820556,74.8784037270811,56.484942818100215,-39.289406862500364,-3.3163361868023884,-31.808256212764075,-31.513144312647565,-76.71358979582979,-23.98492021753757,39.289406862500364,21.66200084593795,-31.808256212764075,-48.89282230720903,-76.71358979582979,-71.65483358709382
10,-18.434948822922006,-13.502376979883465,52.129275126605485,51.58084299747505,82.245347928628,76.28317599076003,27.349875780069883,16.37384806501355,31.71893315908164,51.750857962898934,73.89841657493318,66.28431648137332,-39.289406862500364,-6.298539715810703,-31.808256212764075,-19.396960856069317,-76.71358979582979,-12.932694756736447,39.289406862500364,23.828152385246824,-31.808256212764075,-40.416637069262464,-76.71358979582979,-62.96114602534551
11,-10.007979801441346,-14.089850126404269,29.895677214181863,49.431394916534195,61.792656183251545,60.61012047100947,24.558203441583448,17.994617023974122,31.637137343341763,60.140917382704515,72.7335172791449,80.63035659253293,-36.214701282115406,-8.794887147034302,-31.80531995136064,-25.562296352114565,-76.2856427651633,-41.317548733773826,39.289406862500364,25.14860533194036,-31.808256212764075,-31.076610363318462,-76.71358979582979,-29.470288614008346
12,-10.007979801441346,-12.660474263107952,29.895677214181863,49.59543478398271,61.792656183251545,35.691160666005665,21.864302742664176,18.968563434115,31.512853632058484,57.97128259505143,71.38298164287926,77.87533128040609,-33.190117042971735,-9.598854671171216,-31.79424539913732,-33.027503137672014,-75.67401264797442,-59.296989628362674,39.289406862500364,27.059385523741383,-31.808256212764075,-40.3034668410336,-76.71358979582979,-48.56374628221648
13,-10.007979801441346,-10.28352431770079,29.895677214181863,55.80079214729592,61.792656183251545,29.71315149214454,19.274387356634314,20.67709264877963,31.33579894564477,48.678734514255034,69.84580756625935,53.23258320136763,-30.230801469708375,-9.304382812857453,-31.768202504636474,-33.12538153499777,-74.8784037270811,-54.648468979352565,28.30075576600637,29.455793208477832,-53.52162505473764,-43.50468958056319,-87.60991751917459,-46.6342046287034
14,-10.007979801441346,-8.722071057173729,29.895677214181863,61.6050129983358,61.792656183251545,28.394656488482976,16.792509120984707,21.84424782095485,31.095640295429217,38.91348050454133,68.12058960225293,47.35952422956201,-27.349875780069883,-9.504905311722066,-31.718933159081615,-32.19589907000633,-73.89841657493315,-40.69497353057559,18.434948822922006,30.215404661605305,-52.12927512660551,-44.39050766459077,-82.245347928628,-35.9584560382131
15,-12.159595728526515,-8.026976737266825,30.385445910816152,65.10549587676773,64.09731896322953,27.459473034442983,14.420773127510978,21.814793468249025,30.782180240859578,35.77846102237154,66.20534992257404,46.28346998070682,-24.558203441583448,-11.046540144387171,-31.637137343341738,-33.483380234069806,-72.73351727914493,-32.94909836348281,10.007979801441346,29.50354130800422,-29.895677214181838,-44.98196536668337,-61.792656183251516,-22.747967969111354
16,-14.420773127510978,-6.220698819644162,30.782180240859578,55.25838421744122,66.20534992257404,19.96158273400088,12.159595728526515,23.38599147174026,30.385445910816152,37.58907738927685,64.09731896322957,51.37885162322052,-21.864302742664176,-14.867749962583783,-31.512853632058512,-37.49901831626818,-71.38298164287927,-42.09440360918286,10.007979801441346,27.08732906823685,-29.895677214181838,-53.966875444040795,-61.792656183251516,-35.37123857257196
17,-16.792509120984707,-6.4168342624536745,31.095640295429217,48.221498015029006,68.12058960225293,26.773991779896082,10.007979801441346,21.82747812474865,29.895677214181863,41.47304407267121,61.792656183251545,45.64309647010402,-19.274387356634314,-16.512585434298902,-31.33579894564477,-30.579245945982155,-69.84580756625935,-24.285619247249087,10.007979801441346,25.92770834883225,-29.895677214181838,-48.17033172408942,-61.792656183251516,-20.18907654854277
18,-19.274387356634314,-5.921217310975444,31.33579894564477,51.57026425205237,69.84580756625935,55.623013213514305,10.007979801441346,19.485525235215352,29.895677214181863,37.88601452001672,61.792656183251545,21.743015926712335,-16.792509120984707,-16.41409389385663,-31.095640295429217,-28.85895933661019,-68.12058960225296,-20.586333381861117,10.007979801441346,24.82071207836214,-29.895677214181838,-46.927307521513335,-61.792656183251516,-42.20820847951468
19,-21.864302742664176,-7.735595277759944,31.512853632058484,56.28804577825543,71.38298164287926,73.2533276455196,10.007979801441346,19.84074480631973,29.895677214181863,32.41100275701278,61.792656183251545,3.6573201888611675,-14.420773127510978,-16.661383287647165,-30.782180240859578,-22.281158453446185,-66.20534992257402,-17.663485286812723,12.159595728526515,23.317220777643627,-30.385445910816152,-45.35475894161271,-64.09731896322955,-52.62983186917218
20,-24.55820344158342,-11.549148260317876,31.637137343341763,60.76125223182603,72.7335172791449,90.13535977498726,10.007979801441346,19.70370158243603,29.895677214181863,30.416899956848084,61.792656183251545,31.20392126761887,-12.159595728526515,-17.622531800516015,-30.38544591081618,-14.516171511451354,-64.09731896322957,-14.707892365994288,14.420773127510978,21.091631783537085,-30.782180240859578,-56.81581045054984,-66.20534992257402,-87.66730760264679
21,-27.349875780069883,-12.751335838106044,31.71893315908164,58.492146619607226,73.89841657493318,89.48029620495123,18.434948822922006,19.86422253092138,52.129275126605485,29.956850680657244,82.245347928628,63.10273057724984,-10.007979801441346,-18.585006067336455,-29.895677214181838,-6.036718753552083,-61.792656183251516,-11.50046821841172,16.792509120984707,19.94710082575317,-31.095640295429217,-56.12978876492829,-68.12058960225296,-90.06775030869738
22,-30.23080146970835,-14.63462470252612,31.768202504636474,48.408921005683915,74.8784037270811,75.57167764879911,28.30075576600637,19.231136572545438,53.52162505473767,33.41492059594841,87.60991751917456,91.14484526087881,-10.007979801441346,-18.60102320897791,-29.895677214181838,-9.022852280159743,-61.792656183251516,-26.2440265951664,19.274387356634314,19.052023143076916,-31.33579894564477,-63.35798962535576,-69.84580756625935,-92.40298199091636
23,-33.190117042971735,-16.706797532362447,31.79424539913732,49.359950922795555,75.67401264797442,85.44095464686697,39.289406862500364,20.532996022141074,31.808256212764075,36.298340442213714,76.71358979582982,90.99111727825712,-10.007979801441346,-18.54717166106929,-29.895677214181838,-5.233634414604725,-61.792656183251516,-23.498331161947743,21.864302742664176,18.09911647256262,-31.512853632058512,-64.34206783580314,-71.38298164287927,-82.97913377213918
24,-36.21470128211538,-18.1144332698576,31.80531995136064,51.745788271275416,76.2856427651633,89.41014518939706,39.289406862500364,22.46022542686312,31.808256212764075,35.9909636197775,76.71358979582982,74.46266424110371,-10.007979801441346,-18.588476727622893,-29.895677214181838,-3.8248964006053443,-61.792656183251516,-21.44983766239959,24.55820344158342,17.53378691232334,-31.637137343341738,-58.080313210108194,-72.73351727914493,-61.15266669545334
25,-39.289406862500364,-20.71684555841795,31.808256212764075,52.585622412474066,76.71358979582982,81.82281792179536,39.289406862500364,23.049782301479976,31.808256212764075,34.36878571812903,76.71358979582982,65.13696236802342,-18.434948822922006,-18.241987555307226,-52.129275126605485,-2.838738439371054,-82.24534792862798,-29.9907984318202,27.349875780069883,17.54768243685165,-31.718933159081615,-48.40846824897297,-73.89841657493315,-28.299815024205056
26,-39.289406862500364,-23.684840169908988,31.808256212764075,51.846190995983775,76.71358979582982,34.96541321651868,39.289406862500364,24.085056176670967,31.808256212764075,27.449006383850673,76.71358979582982,51.43911460152731,-28.30075576600637,-17.79177829082544,-53.52162505473767,-10.1800184630683,-87.60991751917459,-45.64902409844526,30.23080146970835,19.081190839324638,-31.76820250463645,-48.17071540292767,-74.87840372708108,-51.66234443369457
27,-39.289406862500364,-25.757907683214878,31.808256212764075,52.5157435839232,76.71358979582982,42.44437626614481,36.214701282115406,24.65446676057434,31.80531995136064,24.408094029316803,76.2856427651633,30.47049508265848,-39.289406862500364,-18.571622753246317,-31.808256212764075,-26.32215020341674,-76.71358979582979,-93.12252631828136,33.190117042971735,18.390288711240537,-31.79424539913732,-65.36471821037401,-75.67401264797442,-89.18037887411737
28,-39.289406862500364,-29.17754513465481,31.808256212764075,52.19684989926359,76.71358979582982,39.60648149638333,33.190117042971735,24.80231242835793,31.79424539913732,21.209781673660824,75.67401264797442,12.724141540867922,-39.289406862500364,-20.01235234144244,-31.808256212764075,-20.997788544332955,-76.71358979582979,-42.174286119881536,36.21470128211538,18.914914906122842,-31.80531995136064,-64.73614420438766,-76.2856427651633,-82.05697304334663
29,-28.30075576600637,-28.796647669783056,53.52162505473762,51.575196196488584,87.60991751917456,26.306023952911982,30.230801469708375,26.06728986400532,31.768202504636474,22.97619402776974,74.8784037270811,29.4065766379124,-39.289406862500364,-21.362305707891014,-31.808256212764075,-27.18759020169206,-76.71358979582979,-46.65915491282264,39.289406862500364,21.85650291378766,-31.808256212764075,-63.26056500788221,-76.71358979582979,-70.30624540893628
30,-18.434948822922006,-29.30652104684823,52.129275126605485,61.41914191057128,82.245347928628,61.0062410222652,27.349875780069883,26.149449268732237,31.71893315908164,25.351784802499715,73.89841657493318,23.833362293391243,-39.289406862500364,-24.71729291771037,-31.808256212764075,-27.26024588314305,-76.71358979582979,-33.83415119420228,39.289406862500364,23.349426111277214,-31.808256212764075,-63.6935444033023,-76.71358979582979,-62.16676821255284
31,-10.007979801441346,-31.116501797694976,29.895677214181863,73.06498429132795,61.792656183251545,89.44316976252382,24.558203441583448,24.80628640771996,31.637137343341763,30.630327556073702,72.7335172791449,28.69613076662228,-36.214701282115406,-26.008077155212508,-31.80531995136064,-31.956721851096187,-76.2856427651633,-43.40033453938604,39.289406862500364,26.113097180130396,-31.808256212764075,-57.99885430286939,-76.71358979582979,-40.42433394737092
